Orders             Exp_profit          Exp_sales           Exp_lost_sales      Exp_leftover        Stockout_prob       CVaR

     2184.20          162559.11             2062.43             1074.75              121.77                0.80           126027.54



Scenario           Profit              Sales               Leftover_inv        demand
s405           154918.02                    1986.02              198.18             1986.02
s406           174736.30                    2184.20                0.00             3606.30
s407           174736.30                    2184.20                0.00             3366.76
s408           160902.66                    2045.87              138.34             2045.87
s409           174736.30                    2184.20                0.00             2632.62
s410           174736.30                    2184.20                0.00             2849.03
s411           174736.30                    2184.20                0.00             2494.79
s412            30619.51                     743.04             1441.17              743.04
s413           174736.30                    2184.20                0.00             3120.20
s414           174736.30                    2184.20                0.00             3460.91
s415           174736.30                    2184.20                0.00             3868.88
s416           174736.30                    2184.20                0.00             3639.56
s417           174736.30                    2184.20                0.00             3375.56
s418           174736.30                    2184.20                0.00             3638.73
s419           174736.30                    2184.20                0.00             4999.04
s420            30033.15                     737.17             1447.03              737.17
s421           174736.30                    2184.20                0.00             2760.80
s422           122570.50                    1662.55              521.66             1662.55
s423           174736.30                    2184.20                0.00             3469.41
s424           174736.30                    2184.20                0.00             3764.48
s425           174736.30                    2184.20                0.00             3021.03
s426           174736.30                    2184.20                0.00             2291.80
s427           135192.40                    1788.76              395.44             1788.76
s428           174736.30                    2184.20                0.00             2629.79
s429           174736.30                    2184.20                0.00             4474.03
s430           174736.30                    2184.20                0.00             2838.75
s431           174088.92                    2177.73                6.47             2177.73
s432           174736.30                    2184.20                0.00             2708.40
s433           119698.87                    1633.83              550.37             1633.83
s434           174736.30                    2184.20                0.00             3809.33
s435            70298.57                    1139.83             1044.38             1139.83
s436           174736.30                    2184.20                0.00             2767.47
s437           174736.30                    2184.20                0.00             3093.50
s438           174736.30                    2184.20                0.00             4122.92
s439           174736.30                    2184.20                0.00             2944.97
s440           153047.06                    1967.31              216.89             1967.31
s441            11387.33                     550.71             1633.49              550.71
s442           163493.64                    2071.78              112.43             2071.78
s443           174736.30                    2184.20                0.00             3659.06
s444           174736.30                    2184.20                0.00             3847.68
s445           174736.30                    2184.20                0.00             3508.44
s446           174736.30                    2184.20                0.00             3547.67
s447           143314.71                    1869.99              314.22             1869.99
s448           174736.30                    2184.20                0.00             4516.27
s449           174736.30                    2184.20                0.00             5292.89
s450           174736.30                    2184.20                0.00             4436.69
s451           174736.30                    2184.20                0.00             2722.73
s452           145582.93                    1892.67              291.53             1892.67
s453           174736.30                    2184.20                0.00             3977.76
s454           174736.30                    2184.20                0.00             5742.93
s455           174736.30                    2184.20                0.00             4437.46
s456           136419.29                    1801.03              383.17             1801.03
s457           174736.30                    2184.20                0.00             2652.99
s458           174736.30                    2184.20                0.00             2252.26
s459           104322.46                    1480.07              704.14             1480.07
s460           174736.30                    2184.20                0.00             2945.71
s461           174736.30                    2184.20                0.00             4208.20
s462           154246.19                    1979.30              204.90             1979.30
s463           174736.30                    2184.20                0.00             4166.14
s464           174736.30                    2184.20                0.00             3774.74
s465           102310.18                    1459.94              724.26             1459.94
s466           174736.30                    2184.20                0.00             3158.20
s467           125266.72                    1689.51              494.70             1689.51
s468           -27028.96                     166.55             2017.65              166.55
s469           -43684.08                       0.00             2184.20                0.00
s470           174736.30                    2184.20                0.00             4851.84
s471           174736.30                    2184.20                0.00             3980.06
s472           174736.30                    2184.20                0.00             2757.49
s473           174736.30                    2184.20                0.00             2808.22
s474           133860.65                    1775.45              408.76             1775.45
s475           174736.30                    2184.20                0.00             2815.37
s476           174736.30                    2184.20                0.00             5157.40
s477            69888.46                    1135.73             1048.48             1135.73
s478           174736.30                    2184.20                0.00             3904.70
s479           174736.30                    2184.20                0.00             2882.47
s480           174736.30                    2184.20                0.00             4877.46
s481           153867.96                    1975.52              208.68             1975.52
s482           174736.30                    2184.20                0.00             2265.00
s483           174736.30                    2184.20                0.00             3968.11
s484           174736.30                    2184.20                0.00             5149.28
s485            34043.83                     777.28             1406.92              777.28
s486            52121.79                     958.06             1226.15              958.06
s487           174736.30                    2184.20                0.00             4284.70
s488           174736.30                    2184.20                0.00             3327.25
s489           174736.30                    2184.20                0.00             5573.77
s490           174736.30                    2184.20                0.00             4540.77
s491           174736.30                    2184.20                0.00             3802.55
s492           174736.30                    2184.20                0.00             3135.32
s493           174736.30                    2184.20                0.00             3264.10
s494           168712.31                    2123.96               60.24             2123.96
s495           174736.30                    2184.20                0.00             2876.49
s496           133388.67                    1770.73              413.48             1770.73
s497           174736.30                    2184.20                0.00             3059.01
s498           174736.30                    2184.20                0.00             2886.80
s499           174736.30                    2184.20                0.00             3058.25
s500           174736.30                    2184.20                0.00             5004.41
s501           174736.30                    2184.20                0.00             3243.74
s502           174736.30                    2184.20                0.00             3776.77
s503           115738.31                    1594.22              589.98             1594.22
s504           161148.83                    2048.33              135.87             2048.33
s505           174736.30                    2184.20                0.00             3418.69
s506           174736.30                    2184.20                0.00             2862.68
s507           174736.30                    2184.20                0.00             5600.52
s508           174736.30                    2184.20                0.00             4239.73
s509           105965.33                    1496.49              687.71             1496.49
s510           170072.74                    2137.57               46.64             2137.57
s511           174736.30                    2184.20                0.00             2313.17
s512           -43684.08                       0.00             2184.20                0.00
s513           174736.30                    2184.20                0.00             4519.56
s514           147678.30                    1913.62              270.58             1913.62
s515           132201.72                    1758.86              425.35             1758.86
s516           174736.30                    2184.20                0.00             3420.47
s517           174736.30                    2184.20                0.00             2568.45
s518           174736.30                    2184.20                0.00             2663.48
s519           174736.30                    2184.20                0.00             4059.48
s520           174736.30                    2184.20                0.00             4541.30
s521           174736.30                    2184.20                0.00             2579.28
s522           174736.30                    2184.20                0.00             3507.74
s523           174178.41                    2178.62                5.58             2178.62
s524           174736.30                    2184.20                0.00             2473.42
s525           174736.30                    2184.20                0.00             5093.49
s526           174736.30                    2184.20                0.00             4286.58
s527           174736.30                    2184.20                0.00             4157.60
s528           103758.09                    1474.42              709.78             1474.42
s529           174736.30                    2184.20                0.00             2832.33
s530           174736.30                    2184.20                0.00             4563.53
s531           174736.30                    2184.20                0.00             4719.79
s532           174736.30                    2184.20                0.00             4085.64
s533           174736.30                    2184.20                0.00             3501.71
s534           174736.30                    2184.20                0.00             3799.83
s535           134867.09                    1785.51              398.69             1785.51
s536           174736.30                    2184.20                0.00             4811.28
s537           -34093.70                      95.90             2088.30               95.90
s538           174736.30                    2184.20                0.00             4215.52
s539           174736.30                    2184.20                0.00             3571.54
s540           174736.30                    2184.20                0.00             7522.15
s541           174736.30                    2184.20                0.00             2418.87
s542           174736.30                    2184.20                0.00             2627.18
s543           164673.35                    2083.57              100.63             2083.57
s544           174736.30                    2184.20                0.00             2867.76
s545           174736.30                    2184.20                0.00             5482.97
s546           174736.30                    2184.20                0.00             5798.91
s547           174736.30                    2184.20                0.00             3490.85
s548           174736.30                    2184.20                0.00             2517.71
s549           174736.30                    2184.20                0.00             2499.12
s550           174736.30                    2184.20                0.00             3184.53
s551           174736.30                    2184.20                0.00             2908.86
s552           174736.30                    2184.20                0.00             4173.97
s553           174736.30                    2184.20                0.00             3492.64
s554           174736.30                    2184.20                0.00             3513.33
s555           174736.30                    2184.20                0.00             2348.75
s556           174736.30                    2184.20                0.00             3154.30
s557           174736.30                    2184.20                0.00             2916.17
s558           174736.30                    2184.20                0.00             4101.17
s559           174736.30                    2184.20                0.00             2570.47
s560           174736.30                    2184.20                0.00             3411.39
s561           138133.95                    1818.18              366.02             1818.18
s562           174736.30                    2184.20                0.00             2746.09
s563           174736.30                    2184.20                0.00             3901.73
s564           174736.30                    2184.20                0.00             5689.53
s565           135887.62                    1795.72              388.49             1795.72
s566           174736.30                    2184.20                0.00             3905.11
s567           174736.30                    2184.20                0.00             3209.07
s568           174736.30                    2184.20                0.00             3262.45
s569           174736.30                    2184.20                0.00             3744.22
s570           174736.30                    2184.20                0.00             2669.39
s571           174736.30                    2184.20                0.00             3093.03
s572           174736.30                    2184.20                0.00             3383.19
s573           113371.24                    1570.55              613.65             1570.55
s574           174736.30                    2184.20                0.00             2561.43
s575           174736.30                    2184.20                0.00             2259.13
s576           174736.30                    2184.20                0.00             3750.27
s577           174736.30                    2184.20                0.00             2770.59
s578           174736.30                    2184.20                0.00             4654.49
s579           174736.30                    2184.20                0.00             4768.81
s580           174736.30                    2184.20                0.00             4351.39
s581           119514.38                    1631.98              552.22             1631.98
s582           174736.30                    2184.20                0.00             2966.82
s583           174736.30                    2184.20                0.00             5124.28
s584           174736.30                    2184.20                0.00             4248.87
s585           174736.30                    2184.20                0.00             3086.08
